chrom	start	end	celltype	blockchr	blockstart	blockend
chr2	88859551	88859553	['CD19']	chr2	88859526	88859826
chr5	82814097	82814099	['CD19']	chr5	82813968	82814268
chr15	42457137	42457139	['CD19']	chr15	42456988	42457288
chr13	110653457	110653459	['CD19']	chr13	110653308	110653608
chr2	100394306	100394308	['CD19']	chr2	100394157	100394457
chr2	88859690	88859692	['CD19']	chr2	88859526	88859826
chr3	13021675	13021677	['CD19']	chr3	13021515	13021815
chr2	239369401	239369403	['CD19']	chr2	239369252	239369552
chr5	82814117	82814119	['CD19']	chr5	82813968	82814268
chr7	77906893	77906895	['CD19']	chr7	77906752	77907052
chr10	131766301	131766303	['CD19']	chr10	131766152	131766452
chr16	83941121	83941123	['CD19']	chr16	83940961	83941261
chr3	66553877	66553879	['CD19']	chr3	66553765	66554065
chr15	90595508	90595510	['CD19']	chr15	90595367	90595667
chr6	20998866	20998868	['CD19']	chr6	20998717	20999017
chr9	123234015	123234017	['CD19']	chr9	123233923	123234223
chr9	76463689	76463691	['CD19']	chr9	76463530	76463830
chr2	88859675	88859677	['CD19']	chr2	88859526	88859826
chr15	32899496	32899498	['CD19']	chr15	32899347	32899647
chr10	62000358	62000360	['CD19']	chr10	62000161	62000461
chr3	16433948	16433950	['CD19']	chr3	16433845	16434145
chr6	84170329	84170331	['CD19']	chr6	84170172	84170472
chr9	112774889	112774891	['CD19']	chr9	112774763	112775063
chr15	42457129	42457131	['CD19']	chr15	42456988	42457288
chr1	87057828	87057830	['CD19']	chr1	87057632	87057932
chr10	62000298	62000300	['CD19']	chr10	62000161	62000461
chr8	41665961	41665963	['CD19']	chr8	41665812	41666112
chr11	76277969	76277971	['CD19']	chr11	76277820	76278120
chr6	166849912	166849914	['CD19']	chr6	166849763	166850063
chr3	66387031	66387033	['CD19']	chr3	66386882	66387182
chr7	1980429	1980431	['CD19']	chr7	1980314	1980614
chr2	136239963	136239965	['CD19']	chr2	136239805	136240105
chr19	48909760	48909762	['CD19']	chr19	48909602	48909902
chr14	52546191	52546193	['CD19']	chr14	52546042	52546342
chr6	42242160	42242162	['CD19']	chr6	42242011	42242311
chr2	88859731	88859733	['CD19']	chr2	88859526	88859826
chr6	166850008	166850010	['CD19']	chr6	166849763	166850063
chr1	15830892	15830894	['CD19']	chr1	15830743	15831043
chr16	83941110	83941112	['CD19']	chr16	83940961	83941261
chr1	226640948	226640950	['CD19']	chr1	226640799	226641099
chr5	32574229	32574231	['CD19']	chr5	32574050	32574350
chr11	76278021	76278023	['CD19']	chr11	76277820	76278120
chr3	141524789	141524791	['CD19']	chr3	141524585	141524885
chr19	54662030	54662032	['CD19']	chr19	54661881	54662181
chr3	197674767	197674769	['CD19']	chr3	197674618	197674918
chr12	50111030	50111032	['CD19']	chr12	50110881	50111181
chr7	18567184	18567186	['CD19']	chr7	18567072	18567372
chr19	1649187	1649189	['CD19']	chr19	1648974	1649274
chr4	184955128	184955130	['CD19']	chr4	184954979	184955279
chr3	58349448	58349450	['CD19']	chr3	58349244	58349544
chr19	1649155	1649157	['CD19']	chr19	1648974	1649274
chr17	28742652	28742654	['CD19']	chr17	28742503	28742803
chr2	54628712	54628714	['CD19']	chr2	54628647	54628947
chr7	1980389	1980391	['CD19']	chr7	1980314	1980614
chr19	1648990	1648992	['CD19']	chr19	1648974	1649274
chr9	123233981	123233983	['CD19']	chr9	123233923	123234223
chr10	62000263	62000265	['CD19']	chr10	62000161	62000461
chr8	109574918	109574920	['CD19']	chr8	109574776	109575076
chr7	18567190	18567192	['CD19']	chr7	18567072	18567372
chr17	28742649	28742651	['CD19']	chr17	28742503	28742803
chr11	2393788	2393790	['CD19']	chr11	2393586	2393886
chr2	136240024	136240026	['CD19']	chr2	136239805	136240105
chr3	24508011	24508013	['CD19']	chr3	24507862	24508162
chr6	110811409	110811411	['CD19']	chr6	110811260	110811560
chr19	50418095	50418097	['CD19']	chr19	50417946	50418246
chr2	233202498	233202500	['CD19']	chr2	233202349	233202649
chr12	110686409	110686411	['CD19']	chr12	110686260	110686560
chr9	123234026	123234028	['CD19']	chr9	123233923	123234223
chr4	184396279	184396281	['CD19']	chr4	184396134	184396434
chr3	66553978	66553980	['CD19']	chr3	66553765	66554065
chr9	123234068	123234070	['CD19']	chr9	123233923	123234223
chr1	15572248	15572250	['CD19']	chr1	15571949	15572249
chr2	239369434	239369436	['CD19']	chr2	239369252	239369552
chr2	136239930	136239932	['CD19']	chr2	136239805	136240105
chr4	10974717	10974719	['CD19']	chr4	10974581	10974881
chr1	226640887	226640889	['CD19']	chr1	226640799	226641099
chr8	109574930	109574932	['CD19']	chr8	109574776	109575076
chr10	12243769	12243771	['CD19']	chr10	12243565	12243865
chr7	1980457	1980459	['CD19']	chr7	1980314	1980614
chr14	103692416	103692418	['CD19']	chr14	103692242	103692542
chr6	110811498	110811500	['CD19']	chr6	110811260	110811560
chr7	18567252	18567254	['CD19']	chr7	18567072	18567372
chr6	166849978	166849980	['CD19']	chr6	166849763	166850063
chr16	88771889	88771891	['CD19']	chr16	88771820	88772120
chr8	109574933	109574935	['CD19']	chr8	109574776	109575076
chr3	141524714	141524716	['CD19']	chr3	141524585	141524885
chr4	184396312	184396314	['CD19']	chr4	184396134	184396434
chr3	187024327	187024329	['CD19']	chr3	187024189	187024489
chr19	54661927	54661929	['CD19']	chr19	54661881	54662181
chr7	1980372	1980374	['CD19']	chr7	1980314	1980614
chr2	88859752	88859754	['CD19']	chr2	88859526	88859826
chr6	110811449	110811451	['CD19']	chr6	110811260	110811560
chr9	112774946	112774948	['CD19']	chr9	112774763	112775063
chr6	88631998	88632000	['CD19']	chr6	88631873	88632173
chr3	16434079	16434081	['CD19']	chr3	16433845	16434145
chr16	88771887	88771889	['CD19']	chr16	88771820	88772120
chr4	184396247	184396249	['CD19']	chr4	184396134	184396434
chr19	50417501	50417503	['CD19']	chr19	50417438	50417738
chr11	2393725	2393727	['CD19']	chr11	2393586	2393886
chr8	109574998	109575000	['CD19']	chr8	109574776	109575076
chr6	166849810	166849812	['CD19']	chr6	166849763	166850063
chr11	76277934	76277936	['CD19']	chr11	76277820	76278120
chr11	76277867	76277869	['CD19']	chr11	76277820	76278120
chr11	76278026	76278028	['CD19']	chr11	76277820	76278120
chr10	131766272	131766274	['CD19']	chr10	131766152	131766452
chr7	77906855	77906857	['CD19']	chr7	77906752	77907052
chr9	37290470	37290472	['CD19']	chr9	37290379	37290679
chr1	87057836	87057838	['CD19']	chr1	87057632	87057932
chr19	17752973	17752975	['CD19']	chr19	17752886	17753186
chr2	100394366	100394368	['CD19']	chr2	100394157	100394457
chr1	87057632	87057634	['CD19']	chr1	87057632	87057932
chr22	42860600	42860602	['CD19']	chr22	42860447	42860747
chr10	131766240	131766242	['CD19']	chr10	131766152	131766452
chr2	233202515	233202517	['CD19']	chr2	233202349	233202649
chr1	24748634	24748636	['CD19']	chr1	24748492	24748792
chr1	226640813	226640815	['CD19']	chr1	226640799	226641099
chr2	100394310	100394312	['CD19']	chr2	100394157	100394457
chr2	239369356	239369358	['CD19']	chr2	239369252	239369552
chr1	36232942	36232944	['CD19']	chr1	36232785	36233085
chr11	2393842	2393844	['CD19']	chr11	2393586	2393886
chr6	166849804	166849806	['CD19']	chr6	166849763	166850063
chr3	13021629	13021631	['CD19']	chr3	13021515	13021815
chr6	157560850	157560852	['CD19']	chr6	157560767	157561067
chr19	1649058	1649060	['CD19']	chr19	1648974	1649274
chr2	88859692	88859694	['CD19']	chr2	88859526	88859826
chr12	110686502	110686504	['CD19']	chr12	110686260	110686560
chr10	131766303	131766305	['CD19']	chr10	131766152	131766452
chr11	76278042	76278044	['CD19']	chr11	76277820	76278120
chr11	76277997	76277999	['CD19']	chr11	76277820	76278120
chr3	16433983	16433985	['CD19']	chr3	16433845	16434145
chr11	2393815	2393817	['CD19']	chr11	2393586	2393886
chr2	239369288	239369290	['CD19']	chr2	239369252	239369552
chr2	88859760	88859762	['CD19']	chr2	88859526	88859826
chr1	15572012	15572014	['CD19']	chr1	15571949	15572249
chr6	110811413	110811415	['CD19']	chr6	110811260	110811560
chr19	17752949	17752951	['CD19']	chr19	17752886	17753186
chr10	131766310	131766312	['CD19']	chr10	131766152	131766452
chr19	50417555	50417557	['CD19']	chr19	50417438	50417738
chr1	15572000	15572002	['CD19']	chr1	15571949	15572249
chr3	16433942	16433944	['CD19']	chr3	16433845	16434145
chr2	233202461	233202463	['CD19']	chr2	233202349	233202649
chr4	184396298	184396300	['CD19']	chr4	184396134	184396434
chr4	184396322	184396324	['CD19']	chr4	184396134	184396434
chr1	24748655	24748657	['CD19']	chr1	24748492	24748792
chr8	41665972	41665974	['CD19']	chr8	41665812	41666112
chr14	103692348	103692350	['CD19']	chr14	103692242	103692542
chr4	184396164	184396166	['CD19']	chr4	184396134	184396434
chr2	239369353	239369355	['CD19']	chr2	239369252	239369552
chr2	233202523	233202525	['CD19']	chr2	233202349	233202649
chr9	123233937	123233939	['CD19']	chr9	123233923	123234223
chr8	109574979	109574981	['CD19']	chr8	109574776	109575076
chr2	100394342	100394344	['CD19']	chr2	100394157	100394457
chr3	141524750	141524752	['CD19']	chr3	141524585	141524885
chr6	157560815	157560817	['CD19']	chr6	157560767	157561067
chr9	123234060	123234062	['CD19']	chr9	123233923	123234223
chr10	131766419	131766421	['CD19']	chr10	131766152	131766452
chr6	166850017	166850019	['CD19']	chr6	166849763	166850063
chr3	66553793	66553795	['CD19']	chr3	66553765	66554065
chr19	50417480	50417482	['CD19']	chr19	50417438	50417738
chr17	75664633	75664635	['CD19']	chr17	75664444	75664744
chr19	1649128	1649130	['CD19']	chr19	1648974	1649274
chr2	239369345	239369347	['CD19']	chr2	239369252	239369552
chr7	1980423	1980425	['CD19']	chr7	1980314	1980614
chr6	42242053	42242055	['CD19']	chr6	42242011	42242311
chr2	88859636	88859638	['CD19']	chr2	88859526	88859826
chr6	157561061	157561063	['CD19']	chr6	157560767	157561067
chr3	66387082	66387084	['CD19']	chr3	66386882	66387182
chr1	226640870	226640872	['CD19']	chr1	226640799	226641099
chr19	50417508	50417510	['CD19']	chr19	50417438	50417738
chr3	13021677	13021679	['CD19']	chr3	13021515	13021815
chr16	83941020	83941022	['CD19']	chr16	83940961	83941261
chr1	15571972	15571974	['CD19']	chr1	15571949	15572249
chr6	166849965	166849967	['CD19']	chr6	166849763	166850063
chr9	112775000	112775002	['CD19']	chr9	112774763	112775063
chr3	13021693	13021695	['CD19']	chr3	13021515	13021815
chr19	54662075	54662077	['CD19']	chr19	54661881	54662181
chr16	88772039	88772041	['CD19']	chr16	88771820	88772120
chr7	1980354	1980356	['CD19']	chr7	1980314	1980614
chr4	184955108	184955110	['CD19']	chr4	184954979	184955279
chr1	24748537	24748539	['CD19']	chr1	24748492	24748792
chr15	90595484	90595486	['CD19']	chr15	90595367	90595667
chr19	50418090	50418092	['CD19']	chr19	50417946	50418246
chr3	18213855	18213857	['CD19']	chr3	18213828	18214206
chr2	100394354	100394356	['CD19']	chr2	100394157	100394457
chr2	88859750	88859752	['CD19']	chr2	88859526	88859826
chr11	76278010	76278012	['CD19']	chr11	76277820	76278120
chr5	290703	290705	['CD19']	chr5	290652	290952
chr19	50417579	50417581	['CD19']	chr19	50417438	50417738
chr9	37290637	37290639	['CD19']	chr9	37290379	37290679
chr10	131766281	131766283	['CD19']	chr10	131766152	131766452
chr22	42860514	42860516	['CD19']	chr22	42860447	42860747
chr1	226640829	226640831	['CD19']	chr1	226640799	226641099
chr3	197674843	197674845	['CD19']	chr3	197674618	197674918
chr2	88859623	88859625	['CD19']	chr2	88859526	88859826
chr6	166849953	166849955	['CD19']	chr6	166849763	166850063
chr2	239369442	239369444	['CD19']	chr2	239369252	239369552
chr3	58349543	58349545	['CD19']	chr3	58349244	58349544
chr2	88859733	88859735	['CD19']	chr2	88859526	88859826
chr13	30443131	30443133	['CD19']	chr13	30443019	30443319
chr1	15830894	15830896	['CD19']	chr1	15830743	15831043
chr19	54662051	54662053	['CD19']	chr19	54661881	54662181
chr8	109574938	109574940	['CD19']	chr8	109574776	109575076
chr2	88859721	88859723	['CD19']	chr2	88859526	88859826
chr2	88859657	88859659	['CD19']	chr2	88859526	88859826
chr2	136240016	136240018	['CD19']	chr2	136239805	136240105
chr3	13021598	13021600	['CD19']	chr3	13021515	13021815
chr1	15830841	15830843	['CD19']	chr1	15830743	15831043
chr1	15830880	15830882	['CD19']	chr1	15830743	15831043
chr14	103692312	103692314	['CD19']	chr14	103692242	103692542
chr6	166849923	166849925	['CD19']	chr6	166849763	166850063
chr16	83941124	83941126	['CD19']	chr16	83940961	83941261
chr2	239369466	239369468	['CD19']	chr2	239369252	239369552
chr9	112774988	112774990	['CD19']	chr9	112774763	112775063
chr17	75664686	75664688	['CD19']	chr17	75664444	75664744
chr11	76278114	76278116	['CD19']	chr11	76277820	76278120
chr4	10974755	10974757	['CD19']	chr4	10974581	10974881
chr10	131766327	131766329	['CD19']	chr10	131766152	131766452
chr3	141524645	141524647	['CD19']	chr3	141524585	141524885
chr5	32574159	32574161	['CD19']	chr5	32574050	32574350
chr2	239369372	239369374	['CD19']	chr2	239369252	239369552
chr19	50417484	50417486	['CD19']	chr19	50417438	50417738
chr10	131766269	131766271	['CD19']	chr10	131766152	131766452
chr1	15830904	15830906	['CD19']	chr1	15830743	15831043
chr16	88772089	88772091	['CD19']	chr16	88771820	88772120
chr4	184955157	184955159	['CD19']	chr4	184954979	184955279
chr11	2393762	2393764	['CD19']	chr11	2393586	2393886
chr4	184396338	184396340	['CD19']	chr4	184396134	184396434
chr16	83941090	83941092	['CD19']	chr16	83940961	83941261
chr6	166849999	166850001	['CD19']	chr6	166849763	166850063
chr19	48909603	48909605	['CD19']	chr19	48909602	48909902
chr18	13620807	13620809	['CD19']	chr18	13620678	13620978
chr8	41665919	41665921	['CD19']	chr8	41665812	41666112
chr12	50111044	50111046	['CD19']	chr12	50110881	50111181
chr18	13620863	13620865	['CD19']	chr18	13620678	13620978
chr19	1649082	1649084	['CD19']	chr19	1648974	1649274
chr19	1649140	1649142	['CD19']	chr19	1648974	1649274
chr13	110653515	110653517	['CD19']	chr13	110653308	110653608
chr5	290664	290666	['CD19']	chr5	290652	290952
chr6	42242072	42242074	['CD19']	chr6	42242011	42242311
chr6	166849779	166849781	['CD19']	chr6	166849763	166850063
chr2	197145204	197145206	['CD19']	chr2	197145097	197145397
chr15	90595500	90595502	['CD19']	chr15	90595367	90595667
chr6	44258782	44258784	['CD19']	chr6	44258508	44258808
chr2	88859560	88859562	['CD19']	chr2	88859526	88859826
chr11	2393827	2393829	['CD19']	chr11	2393586	2393886
chr10	131766252	131766254	['CD19']	chr10	131766152	131766452
chr10	131766187	131766189	['CD19']	chr10	131766152	131766452
chr11	2393884	2393886	['CD19']	chr11	2393586	2393886
chr19	50418121	50418123	['CD19']	chr19	50417946	50418246
chr6	166850055	166850057	['CD19']	chr6	166849763	166850063
chr14	103692324	103692326	['CD19']	chr14	103692242	103692542
chr19	1649201	1649203	['CD19']	chr19	1648974	1649274
chr16	88772047	88772049	['CD19']	chr16	88771820	88772120
chr19	54662081	54662083	['CD19']	chr19	54661881	54662181
chr19	54662013	54662015	['CD19']	chr19	54661881	54662181
chr19	54662058	54662060	['CD19']	chr19	54661881	54662181
chr14	103692270	103692272	['CD19']	chr14	103692242	103692542
chr3	13021797	13021799	['CD19']	chr3	13021515	13021815
chr1	15830859	15830861	['CD19']	chr1	15830743	15831043
chr15	90595398	90595400	['CD19']	chr15	90595367	90595667
chr11	2393700	2393702	['CD19']	chr11	2393586	2393886
chr7	77906799	77906801	['CD19']	chr7	77906752	77907052
chr13	110653360	110653362	['CD19']	chr13	110653308	110653608
chr3	197674700	197674702	['CD19']	chr3	197674618	197674918
chr1	15572004	15572006	['CD19']	chr1	15571949	15572249
chr1	24748570	24748572	['CD19']	chr1	24748492	24748792
chr16	88771927	88771929	['CD19']	chr16	88771820	88772120
chr6	166849877	166849879	['CD19']	chr6	166849763	166850063
chr19	50418205	50418207	['CD19']	chr19	50417946	50418246
chr3	16434119	16434121	['CD19']	chr3	16433845	16434145
chr19	50418245	50418247	['CD19']	chr19	50417946	50418246
chr11	76277885	76277887	['CD19']	chr11	76277820	76278120
chr19	1649167	1649169	['CD19']	chr19	1648974	1649274
chr10	131766223	131766225	['CD19']	chr10	131766152	131766452
chr15	32899460	32899462	['CD19']	chr15	32899347	32899647
chr2	239369311	239369313	['CD19']	chr2	239369252	239369552
chr10	131766361	131766363	['CD19']	chr10	131766152	131766452
chr3	58349511	58349513	['CD19']	chr3	58349244	58349544
chr1	24748572	24748574	['CD19']	chr1	24748492	24748792
chr3	197674846	197674848	['CD19']	chr3	197674618	197674918
chr9	37290425	37290427	['CD19']	chr9	37290379	37290679
chr6	20998979	20998981	['CD19']	chr6	20998717	20999017
chr13	110653367	110653369	['CD19']	chr13	110653308	110653608
chr13	110653474	110653476	['CD19']	chr13	110653308	110653608
chr10	131766245	131766247	['CD19']	chr10	131766152	131766452
chr16	88772087	88772089	['CD19']	chr16	88771820	88772120
chr22	42860484	42860486	['CD19']	chr22	42860447	42860747
chr17	75664677	75664679	['CD19']	chr17	75664444	75664744
chr8	41665917	41665919	['CD19']	chr8	41665812	41666112
chr15	90595385	90595387	['CD19']	chr15	90595367	90595667
chr18	3320676	3320678	['CD19']	chr18	3320522	3320822
chr8	109574886	109574888	['CD19']	chr8	109574776	109575076
chr4	184396269	184396271	['CD19']	chr4	184396134	184396434
chr1	24748578	24748580	['CD19']	chr1	24748492	24748792
chr11	129947816	129947818	['CD19']	chr11	129947672	129947972
chr8	109575034	109575036	['CD19']	chr8	109574776	109575076
chr19	50417561	50417563	['CD19']	chr19	50417438	50417738
chr11	2393624	2393626	['CD19']	chr11	2393586	2393886
chr7	18567160	18567162	['CD19']	chr7	18567072	18567372
chr1	15830937	15830939	['CD19']	chr1	15830743	15831043
chr7	1980495	1980497	['CD19']	chr7	1980314	1980614
chr8	109575045	109575047	['CD19']	chr8	109574776	109575076
chr11	129947753	129947755	['CD19']	chr11	129947672	129947972
chr7	1980447	1980449	['CD19']	chr7	1980314	1980614
chr4	184955081	184955083	['CD19']	chr4	184954979	184955279
chr6	44258695	44258697	['CD19']	chr6	44258508	44258808
chr19	50417520	50417522	['CD19']	chr19	50417438	50417738
chr2	239369481	239369483	['CD19']	chr2	239369252	239369552
chr12	110686292	110686294	['CD19']	chr12	110686260	110686560
chr16	83941158	83941160	['CD19']	chr16	83940961	83941261
chr16	83941184	83941186	['CD19']	chr16	83940961	83941261
chr2	54628908	54628910	['CD19']	chr2	54628647	54628947
chr16	83941220	83941222	['CD19']	chr16	83940961	83941261
chr13	110653396	110653398	['CD19']	chr13	110653308	110653608
chr8	41665897	41665899	['CD19']	chr8	41665812	41666112
chr22	42860450	42860452	['CD19']	chr22	42860447	42860747
chr1	226640896	226640898	['CD19']	chr1	226640799	226641099
chr13	110653538	110653540	['CD19']	chr13	110653308	110653608
chr3	16433854	16433856	['CD19']	chr3	16433845	16434145
chr3	141524867	141524869	['CD19']	chr3	141524585	141524885
chr15	42457063	42457065	['CD19']	chr15	42456988	42457288
chr11	2393650	2393652	['CD19']	chr11	2393586	2393886
chr3	13021812	13021814	['CD19']	chr3	13021515	13021815
chr3	197674864	197674866	['CD19']	chr3	197674618	197674918
chr3	24507884	24507886	['CD19']	chr3	24507862	24508162
chr8	109574807	109574809	['CD19']	chr8	109574776	109575076
chr16	28986416	28986418	['CD4CD8']	chr16	28986267	28986567
chr22	24038031	24038033	['CD4CD8']	chr22	24037882	24038422
chr7	45110594	45110596	['CD4CD8']	chr7	45110445	45110745
chr1	23601081	23601083	['CD4CD8']	chr1	23600932	23601232
chr10	119504923	119504925	['CD4CD8']	chr10	119504774	119505074
chr14	22529419	22529421	['CD4CD8']	chr14	22529270	22529570
chr7	100169260	100169262	['CD4CD8']	chr7	100169111	100169411
chr1	8968029	8968031	['CD4CD8']	chr1	8967880	8968180
chr2	100653826	100653828	['CD4CD8']	chr2	100653677	100653977
chr22	24428719	24428721	['CD4CD8']	chr22	24428552	24428870
chr11	61103092	61103094	['CD4CD8']	chr11	61102943	61103243
chr19	49556338	49556340	['CD4CD8']	chr19	49556189	49556489
chr22	24428701	24428703	['CD4CD8']	chr22	24428552	24428870
chr14	61779793	61779795	['CD4CD8']	chr14	61779644	61779944
chr2	36922873	36922875	['CD4CD8']	chr2	36922724	36923024
chr14	99185163	99185165	['CD4CD8']	chr14	99185014	99185314
chr22	24038048	24038050	['CD4CD8']	chr22	24037882	24038422
chr2	98726541	98726543	['CD4CD8']	chr2	98726392	98726692
chr16	53452120	53452122	['CD4CD8']	chr16	53451971	53452271
chr4	108141796	108141798	['CD4CD8']	chr4	108141647	108141947
chr10	72086486	72086488	['CD4CD8']	chr10	72086337	72086637
chr11	60973365	60973367	['CD4CD8']	chr11	60973216	60973516
chr22	24038271	24038273	['CD4CD8']	chr22	24037882	24038422
chr22	40727171	40727173	['CD4CD8']	chr22	40727022	40727322
chr16	84550010	84550012	['CD4CD8']	chr16	84549861	84550161
chr19	1079745	1079747	['CD4CD8']	chr19	1079596	1079896
chr14	99205459	99205461	['CD4CD8']	chr14	99205310	99205610
chr1	27114022	27114024	['CD4CD8']	chr1	27113822	27114173
chr15	90540065	90540067	['CD4CD8']	chr15	90539916	90540216
chr14	22504464	22504466	['CD4CD8']	chr14	22504315	22504615
chr3	127792656	127792658	['CD4CD8']	chr3	127792507	127792807
chr17	19870475	19870477	['CD4CD8']	chr17	19870158	19870626
chr8	60865688	60865690	['CD4CD8']	chr8	60865539	60865839
chr6	166207336	166207338	['CD4CD8']	chr6	166207187	166207487
chr4	108142198	108142200	['CD4CD8']	chr4	108142049	108142349
chr8	99862285	99862287	['CD4CD8']	chr8	99862136	99862436
chr4	108141662	108141664	['CD4CD8']	chr4	108141647	108141947
chr1	8968052	8968054	['CD4CD8']	chr1	8967880	8968180
chr1	27113992	27113994	['CD4CD8']	chr1	27113822	27114173
chr8	143461670	143461672	['CD4CD8']	chr8	143461430	143461730
chr12	55935828	55935830	['CD4CD8']	chr12	55935681	55936007
chr2	36922938	36922940	['CD4CD8']	chr2	36922724	36923024
chr12	123931739	123931741	['CD4CD8']	chr12	123931618	123931918
chr9	121783602	121783604	['CD4CD8']	chr9	121783472	121783772
chr19	1079787	1079789	['CD4CD8']	chr19	1079596	1079896
chr12	55935771	55935773	['CD4CD8']	chr12	55935681	55936007
chr17	19870498	19870500	['CD4CD8']	chr17	19870158	19870626
chr8	60865740	60865742	['CD4CD8']	chr8	60865539	60865839
chr3	127792650	127792652	['CD4CD8']	chr3	127792507	127792807
chr14	22496384	22496386	['CD4CD8']	chr14	22496337	22496637
chr14	22529398	22529400	['CD4CD8']	chr14	22529270	22529570
chr11	61103007	61103009	['CD4CD8']	chr11	61102943	61103243
chr16	28986412	28986414	['CD4CD8']	chr16	28986267	28986567
chr14	22496423	22496425	['CD4CD8']	chr14	22496337	22496637
chr12	55935841	55935843	['CD4CD8']	chr12	55935681	55936007
chr13	99416886	99416888	['CD4CD8']	chr13	99416706	99417006
chr16	84549962	84549964	['CD4CD8']	chr16	84549861	84550161
chr17	82127334	82127336	['CD4CD8']	chr17	82127306	82127606
chr7	155998214	155998216	['CD4CD8']	chr7	155998112	155998412
chr8	60865728	60865730	['CD4CD8']	chr8	60865539	60865839
chr12	55935856	55935858	['CD4CD8']	chr12	55935681	55936007
chr10	119506333	119506335	['CD4CD8']	chr10	119506176	119506476
chr11	61103029	61103031	['CD4CD8']	chr11	61102943	61103243
chr8	99862291	99862293	['CD4CD8']	chr8	99862136	99862436
chr12	55935776	55935778	['CD4CD8']	chr12	55935681	55936007
chr14	22496433	22496435	['CD4CD8']	chr14	22496337	22496637
chr17	19870515	19870517	['CD4CD8']	chr17	19870158	19870626
chr16	84549972	84549974	['CD4CD8']	chr16	84549861	84550161
chr13	40187993	40187995	['CD4CD8']	chr13	40187863	40188163
chr1	54285885	54285887	['CD4CD8']	chr1	54285753	54286053
chr8	99862372	99862374	['CD4CD8']	chr8	99862136	99862436
chr4	108141676	108141678	['CD4CD8']	chr4	108141647	108141947
chr17	19870489	19870491	['CD4CD8']	chr17	19870158	19870626
chr12	55935830	55935832	['CD4CD8']	chr12	55935681	55936007
chr6	166207334	166207336	['CD4CD8']	chr6	166207187	166207487
chr3	127792658	127792660	['CD4CD8']	chr3	127792507	127792807
chr13	99416914	99416916	['CD4CD8']	chr13	99416706	99417006
chr13	99416868	99416870	['CD4CD8']	chr13	99416706	99417006
chr17	82127443	82127445	['CD4CD8']	chr17	82127306	82127606
chr12	55935832	55935834	['CD4CD8']	chr12	55935681	55936007
chr12	123931744	123931746	['CD4CD8']	chr12	123931618	123931918
chr8	143461608	143461610	['CD4CD8']	chr8	143461430	143461730
chr5	131974767	131974769	['CD4CD8']	chr5	131974618	131974918
chr7	100169258	100169260	['CD4CD8']	chr7	100169111	100169411
chr11	67483692	67483694	['CD4CD8']	chr11	67483533	67483833
chr11	61103135	61103137	['CD4CD8']	chr11	61102943	61103243
chr10	72086584	72086586	['CD4CD8']	chr10	72086337	72086637
chr14	22529357	22529359	['CD4CD8']	chr14	22529270	22529570
chr8	60865598	60865600	['CD4CD8']	chr8	60865539	60865839
chr15	56958176	56958178	['CD4CD8']	chr15	56958027	56958327
chr10	72086597	72086599	['CD4CD8']	chr10	72086337	72086637
chr13	99416926	99416928	['CD4CD8']	chr13	99416706	99417006
chr17	82127599	82127601	['CD4CD8']	chr17	82127306	82127606
chr10	119504929	119504931	['CD4CD8']	chr10	119504774	119505074
chr17	19870340	19870342	['CD4CD8']	chr17	19870158	19870626
chr1	8926886	8926888	['CD4CD8']	chr1	8926825	8927125
chr13	99416902	99416904	['CD4CD8']	chr13	99416706	99417006
chr15	56958191	56958193	['CD4CD8']	chr15	56958027	56958327
chr14	68971542	68971544	['CD4CD8']	chr14	68971400	68971700
chr1	8926851	8926853	['CD4CD8']	chr1	8926825	8927125
chr8	143461579	143461581	['CD4CD8']	chr8	143461430	143461730
chr22	40727173	40727175	['CD4CD8']	chr22	40727022	40727322
chr1	46286398	46286400	['CD4CD8']	chr1	46286153	46286453
chr14	22496494	22496496	['CD4CD8']	chr14	22496337	22496637
chr13	40188012	40188014	['CD4CD8']	chr13	40187863	40188163
chr22	23786340	23786342	['CD4CD8']	chr22	23786191	23786491
chr15	90540123	90540125	['CD4CD8']	chr15	90539916	90540216
chr16	53452102	53452104	['CD4CD8']	chr16	53451971	53452271
chr10	72086534	72086536	['CD4CD8']	chr10	72086337	72086637
chr8	143461554	143461556	['CD4CD8']	chr8	143461430	143461730
chr3	127792642	127792644	['CD4CD8']	chr3	127792507	127792807
chr2	36922885	36922887	['CD4CD8']	chr2	36922724	36923024
chr14	61779832	61779834	['CD4CD8']	chr14	61779644	61779944
chr2	98726530	98726532	['CD4CD8']	chr2	98726392	98726692
chr14	22529473	22529475	['CD4CD8']	chr14	22529270	22529570
chr13	99416767	99416769	['CD4CD8']	chr13	99416706	99417006
chr10	72086491	72086493	['CD4CD8']	chr10	72086337	72086637
chr22	31281944	31281946	['CD4CD8']	chr22	31281795	31282095
chr13	40188001	40188003	['CD4CD8']	chr13	40187863	40188163
chr7	45110588	45110590	['CD4CD8']	chr7	45110445	45110745
chr10	119504910	119504912	['CD4CD8']	chr10	119504774	119505074
chr14	99215419	99215421	['CD4CD8']	chr14	99215223	99215570
chr14	22496486	22496488	['CD4CD8']	chr14	22496337	22496637
chr11	61103076	61103078	['CD4CD8']	chr11	61102943	61103243
chr19	1079792	1079794	['CD4CD8']	chr19	1079596	1079896
chr1	41657797	41657799	['CD4CD8']	chr1	41657642	41657942
chr10	119512118	119512120	['CD4CD8']	chr10	119512001	119512301
